feature,class_0,class_1,class_2,class_3
0,0.0208783425187303,3.31125822332354e-08,2.107481537328962e-08,3.31125822332354e-08
1,0.0196119127633752,3.527336798459669e-08,2.1929824320944912e-08,3.527336798459669e-08
2,0.02207482674852751,3.129890404853046e-08,2.032520304547558e-08,3.129890404853046e-08
3,0.046271178098604156,1.4749262428102786e-08,1.1757789466444508e-08,1.4749262428102786e-08
4,0.0816176104264122,8.203445413439518e-09,0.0014373050613104381,8.203445413439518e-09
5,0.10228534527066417,6.480881378869471e-09,5.829204296621381e-09,6.480881378869471e-09
6,0.018798613728368895,2.74725270951576e-08,0.34109973587045916,2.74725270951576e-08
7,0.013371902029450763,4.1841003308765626e-08,0.2235723180610897,4.1841003308765626e-08
8,0.05391383991083636,1.157407400709448e-08,0.13314038527187463,1.157407400709448e-08
